brand,model,form_factor,wrap_color,ring_color,cell_image_url,cell_data_url,capacity_mah,nominal_voltaje,charging_voltaje,charging_std_ma,charging_max_ma,discharging_cutoff_voltaje,discharging_std_ma,discharging_max_ma,data_ref_url
Samsung,INR21700-40T,21700,Purple (Light),White,https://secondlifestorage.com/custom/cell_images/inr2170040t.jpg,https://secondlifestorage.com/index.php?threads/celldata.8226/,4000,3.60,4.20,2000,6000,2.50,800,45000,https://www.vapcelltech.com/uploads/file1/20180614/5b223d66be21d.pdf
Samsung,INR21700-48G,21700,Brown,White,https://secondlifestorage.com/custom/cell_images/samsunginr2170048g.jpg,https://secondlifestorage.com/index.php?threads/celldata.6530/,4800,3.60,4.20,1440,4800,2.50,960,9600,None
Sanyo,NCR18650BF,18650,Red,Brown,https://secondlifestorage.com/custom/cell_images/JOR9yYG.jpg,https://secondlifestorage.com/index.php?threads/celldata.1705/,3200,3.60,4.20,1625,None,2.50,1625,3200,http://www.all-battery.com/datasheet/NCR18650BF_Datasheet.pdf
Sanyo,NCR18650BL,18650,Red,Black,https://secondlifestorage.com/custom/cell_images/bQCFZnO.jpg,https://secondlifestorage.com/index.php?threads/celldata.1794/,3200,3.60,4.20,1620,None,2.50,650,7000,http://nkon.nl/sk/k/NCR18650BL-specification.pdf
Sanyo,NCR18650GA,18650,Red,Blue,https://secondlifestorage.com/custom/cell_images/JgXsU1B.jpg,https://secondlifestorage.com/index.php?threads/celldata.1702/,3300,3.60,4.20,1475,None,2.50,2000,10000,https://cdn.shopify.com/s/files/1/0674/3651/files/panasonic-ncr18650-ga-spec-sheet.pdf?6594479572025043155
Sanyo,UR16650ZTA,16650,Purple,White,https://secondlifestorage.com/custom/cell_images/ur16650zta.jpg,https://secondlifestorage.com/index.php?threads/celldata.8331/,2330,3.70,4.35,1190,None,3.00,484,None,https://www.master-instruments.com.au/file/63487/1/Sanyo-UR16650ZTA.pdf
Sanyo,UR18650A,18650,Red,White,https://secondlifestorage.com/custom/cell_images/ur18650a.jpg,https://secondlifestorage.com/index.php?threads/celldata.6524/,2100,3.60,4.20,1510,None,2.50,420,None,https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic-li-ion_ur18650a_datasheet.pdf
Sanyo,UR18650A,18650,Red,Puple,https://secondlifestorage.com/custom/cell_images/sanyour18650avar1.jpg,https://secondlifestorage.com/index.php?threads/celldata.6524/,2100,3.60,4.20,1510,None,2.50,420,None,https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic-li-ion_ur18650a_datasheet.pdf
Sanyo,UR18650E,18650,Red,Purple (Grey),https://secondlifestorage.com/custom/cell_images/ce9RxzW.jpg,https://secondlifestorage.com/index.php?threads/celldata.1718/,2000,3.60,4.20,1400,None,2.75,410,6150,http://www.simpower.co.nz/images/products/pdf/UR18650E.pdf
Sanyo,UR18650EA,18650,Red,Black,https://secondlifestorage.com/custom/cell_images/sanyour18650ea.jpg,https://secondlifestorage.com/index.php?threads/celldata.6539/,2350,3.60,4.20,1570,None,2.75,450,8000,None
Sanyo,UR18650F,18650,Red,Blue (Cyan),https://secondlifestorage.com/custom/cell_images/RazEzDQ.jpg,https://secondlifestorage.com/index.php?threads/celldata.1709/,2500,3.70,4.20,1750,2500,3.00,2500,5000,http://www.batteryonestop.com/baotongusa/products/datasheets/li-ion/sanyo-ur18650f-26a.pdf
Sanyo,UR18650FB,18650,Red,Green,https://secondlifestorage.com/custom/cell_images/ur18650fb.jpg,https://secondlifestorage.com/index.php?threads/celldata.4871/,2400,3.70,4.20,2400,None,None,None,4800,None
Sanyo,UR18650FJ,18650,Red,Orange,https://secondlifestorage.com/custom/cell_images/0vgrlw9.jpg,https://secondlifestorage.com/index.php?threads/celldata.1712/,2100,3.70,4.20,2100,None,2.50,420,None,http://www.houseofbatteries.com/documents/UR18650F.pdf
Sanyo,UR18650FK,18650,Red,Teal,https://secondlifestorage.com/custom/cell_images/1WpGDLv.jpg,https://secondlifestorage.com/index.php?threads/celldata.1711/,2100,3.70,4.20,2100,None,2.50,420,None,http://www.houseofbatteries.com/documents/UR18650F.pdf
Sanyo,UR18650FM,18650,Red,Black,https://secondlifestorage.com/custom/cell_images/ur18650fm.jpg,https://secondlifestorage.com/index.php?threads/celldata.4870/,2500,3.70,4.20,1750,None,2.75,500,None,https://www.master-instruments.com.au/file/58592/1/Sanyo-UR18650FM.pdf
Sanyo,UR18650H,18650,Red,Black,https://secondlifestorage.com/custom/cell_images/sanyour18650h.jpg,https://secondlifestorage.com/index.php?threads/celldata.4114/,1900,3.70,4.20,1900,None,2.50,330,None,http://www.houseofbatteries.com/documents/UR18650H.pdf
Sanyo,UR18650P,18650,Red,Black,https://secondlifestorage.com/custom/cell_images/sanyour18650p.jpg,https://secondlifestorage.com/index.php?threads/celldata.6529/,1700,3.70,4.20,1700,None,2.50,340,None,https://www.master-instruments.com.au/files/data_sheets/Lithium/Lithium%20Ion/Sanyo%20UR18650P.pdf
